fid,date,24hour,x,y,Ground_val,Satelite_val,Land_use,Road_density,Population,Temperature,Wind_dir,Wind_Velocity,Hygrometry,Atm_Pres
"206",2010-01-01,"0",-77.2505707389265,39.5215463131397,,,,,,,,,,
"207",2010-01-01,"0",-77.2415875860853,39.5215463131397,,,,,,,,,,
"208",2010-01-01,"0",-77.2326044332441,39.5215463131397,,,,,,,,,,
"209",2010-01-01,"0",-77.2236212804029,39.5215463131397,,,,,,,,,,
"210",2010-01-01,"0",-77.2146381275617,39.5215463131397,,,,,,,,,,
"211",2010-01-01,"0",-77.2056549747205,39.5215463131397,,,,,,,,,,
"212",2010-01-01,"0",-77.1966718218793,39.5215463131397,,,,,,,,,,
"213",2010-01-01,"0",-77.1876886690382,39.5215463131397,,,,,,,,,,
"214",2010-01-01,"0",-77.178705516197,39.5215463131397,,,,,,,,,,
"215",2010-01-01,"0",-77.1697223633558,39.5215463131397,,,,,,,,,,
"216",2010-01-01,"0",-77.1607392105146,39.5215463131397,,,,,,,,,,
"217",2010-01-01,"0",-77.1517560576734,39.5215463131397,,,,,,,,,,
"218",2010-01-01,"0",-77.1427729048322,39.5215463131397,,,,,,,,,,
"219",2010-01-01,"0",-77.133789751991,39.5215463131397,,,,,,,,,,
"220",2010-01-01,"0",-77.1248065991498,39.5215463131397,,,,,,,,,,
"221",2010-01-01,"0",-77.1158234463086,39.5215463131397,,,,,,,,,,
"222",2010-01-01,"0",-77.1068402934674,39.5215463131397,,,,,,,,,,
"223",2010-01-01,"0",-77.0978571406262,39.5215463131397,,,,,,,,,,
"224",2010-01-01,"0",-77.088873987785,39.5215463131397,,,,,,,,,,
"225",2010-01-01,"0",-77.0798908349438,39.5215463131397,,,,,,,,,,
"226",2010-01-01,"0",-77.0709076821026,39.5215463131397,,,,,,,,,,
"227",2010-01-01,"0",-77.0619245292614,39.5215463131397,,,,,,,,,,
"228",2010-01-01,"0",-77.0529413764202,39.5215463131397,,,,,,,,,,
"229",2010-01-01,"0",-77.043958223579,39.5215463131397,,,,,,,,,,
"230",2010-01-01,"0",-77.0349750707378,39.5215463131397,,,,,,,,,,
"231",2010-01-01,"0",-77.0259919178966,39.5215463131397,,,,,,,,,,
"232",2010-01-01,"0",-77.0170087650555,39.5215463131397,,,,,,,,,,
"233",2010-01-01,"0",-77.0080256122143,39.5215463131397,,,,,,,,,,
"234",2010-01-01,"0",-76.9990424593731,39.5215463131397,,,,,,,,,,
"235",2010-01-01,"0",-76.9900593065319,39.5215463131397,,,,,,,,,,
"236",2010-01-01,"0",-76.9810761536907,39.5215463131397,,,,,,,,,,
